,time,image_id,label,eccentricity,equivalent_diameter,feret_diameter_max,filled_area,perimeter,mean_intensity-0,mean_intensity-1,mean_intensity-2,roundness,L,a,b,contrast,correlation,energy,homogeneity,entropy,uniformity
0,0,img_1,1,0.47823844054706377,11.154099982905946,12.013313575317179,97.80888,37.4363120706317,143.98995183259433,167.2866439120865,46.154805575935434,0.8770049246342976,64.84332988778979,-28.973719074383197,36.14759764212354,148.082166517023,0.9855073029977685,0.23708604585286447,0.6020767863620716,5.993128901338808,0.05620979313814655
1,0,img_1,2,0.40670138521656674,12.011873075555746,12.721646814221813,113.43072,40.59779958660163,146.27951369787655,174.9818461876994,48.99166574980746,0.8648395898720128,67.07954086901876,-32.69618671050835,37.73899331304138,129.9007027128469,0.9877147618269412,0.23965036864599898,0.6016099414491233,5.927159897341509,0.05743229919216321
2,0,img_1,3,0.40711815793914524,11.316235625301754,12.09747340698875,100.67304,38.228337440042225,131.5997458703939,159.91554839309512,44.89233582297704,0.8656697173766403,62.149885353445654,-31.24247698492793,33.018962298604954,174.12193732193728,0.981081027557072,0.23142929258033465,0.6053431736397631,6.071158616944842,0.05355951746423414
3,0,img_1,4,0.4627118212611652,10.840863857833847,11.963393302959657,92.39256,36.601060930460264,144.8981866072333,175.1195758619525,50.62746091243711,0.8666814800494902,67.0382610335869,-33.4986417101124,36.96233890114046,113.5798288825512,0.9888645421250801,0.23056080605131743,0.6191518003445449,5.908416560657623,0.05315828528703321
4,0,img_1,5,0.4560718252425115,11.805586684092457,12.814778975717841,109.56815999999999,40.0995684464302,154.9210945953642,166.9426789680506,54.03058260720998,0.8562780966719455,65.54154086704314,-22.418304254532057,33.937130310374286,160.01923245614034,0.9833790495223291,0.22809268402762328,0.614912673146193,5.858226510872256,0.05202627250692519
5,0,img_1,6,0.32786528067903364,11.922166011452097,12.717113236756996,111.7428,40.22884455466176,128.85025827167388,153.08764484154685,35.33734468797989,0.8676694279246513,60.20994934235346,-28.911593307925713,34.25715021961012,76.90514797093743,0.9906751029978779,0.20597565680017516,0.6207775067966478,6.139862141527443,0.04242597119426354
6,0,img_1,7,0.34295526787413716,11.533000185999667,12.418128234101948,104.5668,39.41988307701967,124.07160972698792,152.4568103834104,38.40310308816947,0.8456156621383468,59.787999979949866,-31.05303296729152,32.450852363373436,109.28778691597027,0.9877518449908788,0.2585140442018313,0.5975962623514481,5.949435367818437,0.06682951104958637
7,0,img_1,8,0.6955032338903729,10.210439995735797,12.166457408469402,81.95927999999999,35.34040106424373,125.09528341390993,153.54353039704594,34.8067303665918,0.8246412418469833,60.101774054886164,-31.464504543601656,34.21446458438377,115.54096014688412,0.9868960970625975,0.2885431948574478,0.663253838006292,5.532250201879651,0.0832571752985431
8,0,img_1,9,0.5530087627386415,11.037138847607343,12.579726803591564,95.7684,37.91623730625876,135.68695227235708,169.0408535592116,53.70705326600424,0.8371082658763996,64.83834145315559,-34.46764982849011,32.7388027159129,112.94779963695237,0.988970606021093,0.24565078541226207,0.6615167086589031,5.8920032327372205,0.06034430837366123
9,0,img_1,10,0.4977613076749947,11.061742277539125,11.928298676139862,96.19584,37.504457707609156,120.79965620134925,148.70559807991697,39.757751686559416,0.8594099449267985,58.67721134132431,-30.28585611700003,30.447302505764274,85.60801256873528,0.9897116279662547,0.2631379805231375,0.611763315364156,5.841387504973174,0.0692415967937951
