,image_id,time,eccentricity,equivalent_diameter,feret_diameter_max,filled_area,perimeter,roundness,L,a,b,contrast,correlation,energy,homogeneity,entropy,uniformity
0,img_1,0.0,0.4425423200996049,11.265593985865415,12.308120902903745,100.21162666666666,38.39507327160113,0.8497375386324257,61.80439417663254,-29.570372750168588,33.39743326707518,120.62900961899282,0.9866913261925894,0.23540016488836604,0.6144881459362271,5.98962991571852,0.05606299134954721
1,img_2,0.0,0.35788311460540245,10.952286797483163,11.68048422929031,94.74816,37.104829818679825,0.8604307306934964,61.46554122167012,-27.27281295096984,32.799658297235496,136.543347570341,0.9849967228016846,0.24604644247948665,0.6169160428135871,5.923057356674746,0.06124882453161842
2,img_3,0.0,0.4952086270910161,11.012388577744417,12.402670704485992,97.00825333333333,38.868735667045314,0.8184067889629234,59.725303279666704,-28.488840453504636,31.602535774989363,106.05786902125405,0.9884257330432052,0.24255589571873828,0.6050433840518604,6.051642756485819,0.059834852255285745
3,img_4,15.0,0.5532549369574535,8.643715784116564,9.705544416838345,60.28523428571428,29.60023619547235,0.8408730880540034,57.504532691300895,-18.230520810596108,22.015439736018482,169.54873771943312,0.9808227803383683,0.2564476528139596,0.4859288827469378,6.032074755979492,0.0674252716377489
4,img_5,15.0,0.4557852793230449,9.497304711138447,10.372474789119297,71.39527199999999,32.30282655556537,0.853705359119014,55.20310806181662,-19.205668365407075,21.507066657387256,136.0545249951666,0.9831920369484877,0.23789615695978727,0.4771993083663183,6.2136914850083595,0.058323247667466396
5,img_6,15.0,0.4347578343452751,9.233401215802598,10.08900774166333,67.67349333333333,31.343222130157244,0.8576138481805606,57.609617517404814,-19.07390040418217,22.608091002430555,150.41731140682276,0.9823065614156944,0.24295729739100846,0.48375152900785484,6.1011745157864565,0.059887749599803225
6,img_7,30.0,0.5142711458256001,8.524407798158178,9.641369101804235,58.41616258064518,29.86524424226689,0.8241054455711551,54.67043756631143,-14.712378918463804,18.503243002539598,173.72242230601395,0.9782408802580848,0.24834967943897052,0.4708767436098356,6.1189910169534825,0.06353769915870439
7,img_8,30.0,0.4898303339872143,8.319757850870976,9.274306219197456,55.506229999999995,28.474710258630285,0.8409724783622856,57.067712276341105,-15.0562199857031,19.662941163400763,183.59425679308114,0.9782924302752493,0.23817760660456253,0.46574647517657847,6.1386844933005404,0.0579862552778114
8,img_9,30.0,0.5154563776310527,8.376760034188303,9.444599807330873,55.79430315789474,28.76401090051849,0.837394260830642,57.30797890584775,-14.77446349010351,19.80203664722323,178.42774086612135,0.9796939531989823,0.24626269942290116,0.46421748510673094,6.143827584790555,0.061900320691892795
9,img_10,45.0,0.49356282010679353,8.487994812083935,9.566794274311086,57.430207058823534,29.51241778180204,0.8326807469825233,56.95306431813079,-13.803580307487021,18.694211404507357,174.30734646339815,0.9797585752274905,0.24809234753884174,0.465097754164815,6.126340847982308,0.06399520680449147
10,img_11,45.0,0.47868133590920275,8.451072538450607,9.401800451453326,56.78116363636364,29.06141997224543,0.8343281619369979,55.79363035653814,-13.92558254244223,19.2508134321974,188.64400374546133,0.9779312724348641,0.2516537273578769,0.4725911343625063,6.1278464333690374,0.06558041458400217
11,img_12,45.0,0.5348662946862835,8.136041417942335,9.225335744202184,52.77401999999999,27.985628321745498,0.8347185314091601,59.494391759115956,-14.335344631971816,19.745052435814923,213.38117354291165,0.9774055290471395,0.2512954659419377,0.4625434507588187,6.07979280717748,0.06446017965892317
12,img_13,60.0,0.4972391418872265,8.430894574342888,9.434922495111598,56.57112685714286,28.969752455830168,0.8358721984983061,57.38866644703975,-13.337682200470445,19.44991876691913,184.3546864958931,0.9788187972605318,0.24714768252976685,0.4766643453256272,6.124780555127326,0.06240094415354239
13,img_14,60.0,0.49745359404082024,7.752840352169883,8.791738477637931,48.54607333333333,26.713249860159436,0.8287994746772896,57.99579702611579,-13.909585649570676,19.432810831416138,216.9315174606704,0.9755106957262676,0.2454960426502926,0.46862868450136325,6.113128167382639,0.06189485239669316
14,img_15,60.0,0.4865233631666038,8.383642271191851,9.319757116819765,55.69472999999999,28.694588351264247,0.8430468499268886,59.2893008959884,-14.134824524329895,20.457076298562413,186.33232905086538,0.9794208372297445,0.2481334155118855,0.4841382958146245,6.05337057556518,0.06303024333416411
