,time,image_id,label,eccentricity,equivalent_diameter,feret_diameter_max,filled_area,perimeter,mean_intensity-0,mean_intensity-1,mean_intensity-2,roundness,L,a,b,contrast,correlation,energy,homogeneity,entropy,uniformity
28,0,img_3,2,0.5322257872830546,21.76716288978024,24.31380970460146,372.1290170647211,73.60962190398014,151.0913414510743,173.94734711775223,48.51560022936553,0.8630465600344548,41.53079861997767,-32.49234525893282,40.76596151964203,179.93473684210525,0.9833829898859827,0.27242977612234415,0.6425424638271917,5.4917427650494135,0.07421798291807055
29,0,img_3,3,0.46096692275798584,20.248320001796333,21.977279068295452,322.0088981609726,68.03698521508134,114.14044593435722,140.46636002182896,31.447844390738286,0.8741533256532673,25.653574634689317,-32.45337691953656,35.69005730178966,131.40431603352954,0.9847960418262107,0.23407390217694263,0.5735989833046274,6.2870988165932085,0.05479059168034091
30,0,img_3,4,0.8731286552307771,31.207765609210334,42.608485125953855,764.9688270648754,147.05637498256223,147.2861174926157,176.8091565474237,51.116458811946174,0.4445144562521465,42.2510051969912,-52.00123820760695,40.44223544624616,152.06273243647234,0.9860607823224222,0.2697030732933589,0.6613260175234066,5.466658538857979,0.07273974774388293
31,0,img_3,5,0.18184897333869862,24.96025854021511,26.146835349632433,489.314449092118,83.71786592297492,116.74765923607727,144.4086653156504,38.3557961162558,0.8773272244404685,27.497121494623812,-34.764133807719695,34.89645028335385,102.32529561789936,0.9882521318311469,0.24419632361860427,0.5487390674866857,6.169745998831366,0.0596318444688421
32,0,img_3,6,0.5576367739389857,21.714603324820697,23.960188400229406,370.33408167698354,73.0901393057416,110.48017218004338,135.51491323210413,29.61757727765727,0.871136010231627,23.30287062605554,-28.98288540807434,34.81747446774905,120.63868963426957,0.9855839230000276,0.25156574976396023,0.623022260040562,6.213135927111932,0.06328532645430346
33,0,img_3,7,0.32594215983565716,24.406020580846317,25.72750260364819,467.8254324221412,81.38623660041613,131.45077942636365,161.56059671057926,36.658474417107136,0.887547813514416,35.24787287581416,-51.552237494020424,39.90832940333986,113.74770642201834,0.9863598066496265,0.21832215014802117,0.6241859587834799,5.977761242272797,0.047664561245255095
34,0,img_3,8,0.5582168879049313,20.599660848741664,22.34262450390577,333.2805903161357,69.84913193940162,97.01457517324495,119.77738023501054,28.151815305815006,0.8584161098456178,15.130243974578834,-22.31630494519364,30.556590534983794,66.33199652242197,0.9907540532123827,0.2519401401955457,0.5615713129269791,6.195396960538952,0.06347383424175122
35,0,img_3,9,0.3569168615772789,23.894813626443213,25.176142035551887,448.4325990371446,79.83052649359408,114.3268487935957,150.16164697979062,31.130605161507027,0.884237752847789,29.478897765254036,-79.29312794978779,37.82952622855503,107.96027917698282,0.9860651392389804,0.2354570710537226,0.6281950213187032,5.956169356030984,0.05544003230919778
36,0,img_3,10,0.38927795848220714,22.45347686817444,23.425909860886634,395.96525693404703,74.95676463643707,140.06809104165345,163.53220693590313,51.34869714068345,0.8856156445725042,36.828498863522206,-29.499824553435293,37.11451936995388,124.0865539452496,0.9874159214687541,0.2507075715747077,0.5830866871914075,5.895083341245571,0.06285428644488718
37,0,img_3,11,0.3953596017381889,23.428090245566576,25.076480644273502,431.08574095425445,78.22227361807113,135.7674120661542,147.76056953179594,45.15044840437922,0.8853452301056703,30.61320122613319,-14.75321362936744,35.095327585980804,85.0069918699187,0.9899327903786326,0.20099200241574972,0.5706884536472622,6.3621578380144825,0.04039778503509274
38,0,img_3,12,0.5117810402631463,19.24598136360406,20.943483243745217,290.91760476638586,65.09754602147916,137.24843594943263,161.40363291193856,47.6347240799068,0.8626817936433506,35.773127550315714,-31.02124029125217,37.5041875188143,75.5418747861786,0.9918903429478901,0.20488126880484994,0.586901873647169,6.176371100870915,0.04197633430708518
39,0,img_3,13,0.5886336687798072,20.43726154119512,23.055681874115077,328.0464081015444,70.97448857100926,128.37723359479625,149.60734647025063,42.893514444231876,0.8183528653334969,30.577013292050484,-24.316159227646537,35.61228115594778,102.82626641651032,0.9905197412052988,0.34204718829732567,0.6375008509656299,5.64240732026671,0.11699627902210614
40,0,img_3,14,0.51610964221283,19.80058076190593,24.379800106963426,307.925558964878,74.35020618109458,146.50611446274254,163.99889939670635,57.964536116093264,0.6999890527593517,37.640861563435394,-20.395880660945526,35.69463076692074,97.24425028523389,0.9912747773711214,0.2600019496229269,0.6056309075757313,6.074175035458854,0.06760101380772301
41,0,img_3,15,0.5790904816874065,22.032795009141914,24.638938145191233,381.2668699477486,74.92017828211387,131.94936625514404,151.37274074074074,36.849020576131686,0.8535742963889722,31.518860558085,-23.388567820957586,37.86839647457384,80.5159046973463,0.9909936179721706,0.23540008336534046,0.6377202801992348,6.1598844872838745,0.05541319924840924
42,0,img_3,16,0.4321365739881496,23.410006035812252,24.90016828273005,430.4204851811769,78.26546933563641,110.96695926044735,140.18879589396636,30.703595695663584,0.883003467193923,25.25103507879097,-39.27495172622455,35.60218881880508,38.341628959276015,0.9948000670915599,0.2148129824703327,0.5930433427006099,6.244570416233204,0.04614461743779946
43,0,img_3,17,0.511909328019921,20.345563205075468,22.249735080118235,325.10924110342836,68.86931887486756,137.6167715532219,158.9625883170534,51.41129686112505,0.8613657571571529,34.950023892673975,-25.024904056633407,35.89288949622399,89.3755536130536,0.9914241279325429,0.24301017575462078,0.5702525352651163,6.114786347082669,0.059053945520291674
44,0,img_3,18,0.8674380705448862,17.330897822116054,25.500120356461224,235.90220753244404,66.39875534847728,115.14142811535596,136.1867617324678,31.342396509524317,0.6723911550351468,24.033700483802555,-23.069002895184628,34.85141431662608,25.77236897274633,0.9964719595756918,0.21133180231346527,0.607495059269761,6.273962987204899,0.04466113066905757
45,0,img_4,1,0.5707922812147249,13.417072651874616,14.985166111957815,141.38567977255772,45.828958219268245,164.51038707386363,171.11479048295453,82.68723366477273,0.845931735960215,42.15728586976338,-10.358766336506374,30.277157381895112,229.9794466403162,0.9803282447433713,0.25237994138846087,0.4593117397237304,5.912104651227062,0.06369563481524296
46,0,img_4,2,0.6174872342272006,15.456726469341067,17.34636680583422,187.6397839950253,53.32463468291194,166.6530202689143,159.1122483109238,76.97130242825607,0.8292376469874793,38.17319697373098,-3.8900114912161983,29.506530807593688,180.30271757825938,0.9829443680385855,0.26056372947729395,0.47681654183359634,5.837608037421048,0.06789345711911643
