,image_id,time,eccentricity,equivalent_diameter,feret_diameter_max,filled_area,perimeter,roundness,L,a,b,contrast,correlation,energy,homogeneity,entropy,uniformity
0,img_1,0.0,0.4425423200996049,22.60699605351546,24.69906522703083,403.15894514690655,76.73675734376127,0.8558292148372874,34.07008551147615,-37.06996529401899,37.74703112974069,120.62900961899282,0.9866913261925894,0.23540016488836604,0.6144881459362271,5.98962991571852,0.05606299134954721
1,img_2,0.0,0.35788311460540245,21.978273379843543,23.439568406781227,381.1790059777195,74.1580645500056,0.8665990652318682,33.55258996806629,-29.103416299203655,37.319739006226676,136.543347570341,0.9849967228016846,0.24604644247948665,0.6169160428135871,5.923057356674746,0.06124882453161842
2,img_3,0.0,0.4952086270910161,22.098881375381115,24.88880107175525,390.2715322095416,77.68342349660206,0.8242738584232728,30.800231750809942,-33.321973395579434,36.47911907527273,106.05786902125405,0.9884257330432052,0.24255589571873828,0.6050433840518604,6.051642756485819,0.059834852255285745
3,img_4,0.0,0.5532549369574535,17.34559658943907,19.476399078821252,242.53205212811,59.15931260717347,0.8469012159745979,27.244179353187384,-11.202396737148224,28.947724129737875,169.54873771943312,0.9808227803383683,0.2564476528139596,0.4859288827469378,6.032074755979492,0.0674252716377489
4,img_5,0.0,0.4557852793230449,19.058518387323815,20.814747710330796,287.228573224735,64.56073531562916,0.8598254801983746,22.72709113455227,-12.272842242377166,28.475031080342156,136.0545249951666,0.9831920369484877,0.23789615695978727,0.4771993083663183,6.2136914850083595,0.058323247667466396
5,img_6,0.0,0.4347578343452751,18.528935545526764,20.245906117852044,272.25557646544087,62.642860816011826,0.8637619887938723,27.32427295868486,-12.233694063574376,29.497211563582823,150.41731140682276,0.9823065614156944,0.24295729739100846,0.48375152900785484,6.1011745157864565,0.059887749599803225
6,img_7,0.0,0.5142711458256001,17.106177773964436,19.347616602235515,235.01263544878526,59.688960201206264,0.830013368082337,22.356462261678285,-7.011971385642111,25.78360492995055,173.72242230601395,0.9782408802580848,0.24834967943897052,0.4708767436098356,6.1189910169534825,0.06353769915870439
7,img_8,0.0,0.4898303339872143,16.69550075538213,18.61102080898263,223.30575682916347,56.90982580222337,0.8470013188012148,25.279697291978305,-7.331030258881171,26.783832884597956,183.59425679308114,0.9782924302752493,0.23817760660456253,0.46574647517657847,6.1386844933005404,0.0579862552778114
8,img_9,0.0,0.5154563776310527,16.809888699321295,18.95275391952268,224.4646969075268,57.488024807052206,0.8433974494163783,26.982606518274654,-7.05547524525408,26.96223216799138,178.42774086612135,0.9796939531989823,0.24626269942290116,0.46421748510673094,6.143827584790555,0.061900320691892795
9,img_10,0.0,0.49356282010679353,17.03310677269189,19.19796512065856,231.0460618947847,58.98379789328133,0.8386501448989714,26.1741925429189,-6.075763771864323,25.96135172888753,174.30734646339815,0.9797585752274905,0.24809234753884174,0.465097754164815,6.126340847982308,0.06399520680449147
10,img_11,15.0,0.47868133590920275,16.959013769219304,18.866867203684112,228.43491117048947,58.08242939660728,0.8403093699924846,24.43597547260134,-6.213170451911965,26.452162361790204,188.64400374546133,0.9779312724348641,0.2516537273578769,0.4725911343625063,6.1278464333690374,0.06558041458400217
11,img_12,15.0,0.5348662946862835,16.326831630665346,18.512750328407357,212.3138695785574,55.93234200771518,0.8407025379810316,30.197998422088375,-6.608321875625921,26.966002792654706,213.38117354291165,0.9774055290471395,0.2512954659419377,0.4625434507588187,6.07979280717748,0.06446017965892317
12,img_13,15.0,0.4800096228070503,17.115366160286293,19.01261635280963,232.4747519742955,58.414245297513844,0.847085953927283,27.114821121616984,-5.645345020831765,26.69218291253009,185.96490820737625,0.9789361729657298,0.2513001441766114,0.48080084512231075,6.105042499333663,0.0641926773436057
13,img_14,15.0,0.47558164842393774,15.823992774421095,17.654234092616804,201.04310036425596,53.9734674103994,0.8466200497539244,28.073854967150023,-6.122281158504559,26.41848218761848,220.18302712348276,0.9752597833111639,0.24405002801943845,0.4676083377841678,6.138829356430288,0.06120028811394057
14,img_15,15.0,0.4865233631666038,16.823699485061823,18.702228450982282,224.06410657048616,57.34927624213545,0.849090561310463,29.664960700126965,-6.408071526722995,27.555443208548578,186.33232905086538,0.9794208372297445,0.2481334155118855,0.4841382958146245,6.05337057556518,0.06303024333416411
